PROFIL                     H       B       S       T       R
IPE A 100                 98      55     3.6     4.7       7
IPE 100                  100      55     4.1     5.7       7
IPE A 120              117.6      64     3.8     5.1       7
IPE 120                  120      64     4.4     6.3       7
IPE A 140              137.4      73     3.8     5.6       7
IPE 140                  140      73     4.7     6.9       7
IPE A 160                157      82       4     5.9       9
IPE 160                  160      82       5     7.4       9
IPE A 180                177      91     4.3     6.5       9
IPE 180                  180      91     5.3       8       9
IPE O 180                182      92       6       9       9
IPE A 200                197     100     4.5       7      12
IPE 200                  200     100     5.6     8.5      12
IPE O 200                202     102     6.2     9.5      12
IPE A 220                217     110       5     7.7      12
IPE 220                  220     110     5.9     9.2      12
IPE O 220                222     112     6.6    10.2      12
IPE A 240                237     120     5.2     8.3      15
IPE 240                  240     120     6.2     9.8      15
IPE O 240                242     122       7    10.8      15
IPE A 270                267     135     5.5     8.7      15
IPE 270                  270     135     6.6    10.2      15
IPE O 270                274     136     7.5    12.2      15
IPE A 300                297     150     6.1     9.2      15
IPE 300                  300     150     7.1    10.7      15
IPE O 300                304     152       8    12.7      15
IPE A 330                327     160     6.5      10      18
IPE 330                  330     160     7.5    11.5      18
IPE O 330                334     162     8.5    13.5      18
IPE A 360              357.6     170     6.6    11.5      18
IPE 360                  360     170       8    12.7      18
IPE O 360                364     172     9.2    14.7      18
IPE A 400                397     180       7      12      21
IPE 400                  400     180     8.6    13.5      21
IPE O 400                404     182     9.7    15.5      21
IPE A 450                447     190     7.6    13.1      21
IPE 450                  450     190     9.4    14.6      21
IPE O 450                456     192      11    17.6      21
IPE A 500                497     200     8.4    14.5      21
IPE 500                  500     200    10.2      16      21
IPE O 500                506     202      12      19      21
IPE A 550                547     210       9    15.7      24
IPE 550                  550     210    11.1    17.2      24
IPE O 550                556     212    12.7    20.2      24
IPE A 600                597     220     9.8    17.5      24
IPE 600                  600     220      12      19      24
IPE O 600                610     224      15      24      24
IPE 750 X 147            753     265    13.2      17      17
IPE 750 X 173            762     267    14.4    21.6      17
IPE 750 X 196            770     268    15.6    25.4      17
HE 100 AA                 91     100     4.2     5.5      12
HE 100 A                  96     100       5       8      12
HE 100 B                 100     100       6      10      12
HE 100 M                 120     106      12      20      12
HE 120 AA                109     120     4.2     5.5      12
HE 120 A                 114     120       5       8      12
HE 120 B                 120     120     6.5      11      12
HE 120 M                 140     126    12.5      21      12
HE 140 AA                128     140     4.3       6      12
HE 140 A                 133     140     5.5     8.5      12
HE 140 B                 140     140       7      12      12
HE 140 M                 160     146      13      22      12
HE 160 AA                148     160     4.5       7      15
HE 160 A                 152     160       6       9      15
HE 160 B                 160     160       8      13      15
HE 160 M                 180     166      14      23      15
HE 180 AA                167     180       5     7.5      15
HE 180 A                 171     180       6     9.5      15
HE 180 B                 180     180     8.5      14      15
HE 180 M                 200     186    14.5      24      15
HE 200 AA                186     200     5.5       8      18
HE 200 A                 190     200     6.5      10      18
HE 200 B                 200     200       9      15      18
HE 200 M                 220     206      15      25      18
HE 220 AA                205     220       6     8.5      18
HE 220 A                 210     220       7      11      18
HE 220 B                 220     220     9.5      16      18
HE 220 M                 240     226    15.5      26      18
HE 240 AA                224     240     6.5       9      21
HE 240 A                 230     240     7.5      12      21
HE 240 B                 240     240      10      17      21
HE 240 M                 270     248      18      32      21
HE 260 AA                244     260     6.5     9.5      24
HE 260 A                 250     260     7.5    12.5      24
HE 260 B                 260     260      10    17.5      24
HE 260 M                 290     268      18    32.5      24
HE 280 AA                264     280       7      10      24
HE 280 A                 270     280       8      13      24
HE 280 B                 280     280    10.5      18      24
HE 280 M                 310     288    18.5      33      24
HE 300 AA                283     300     7.5    10.5      27
HE 300 A                 290     300     8.5      14      27
HE 300 B                 300     300      11      19      27
HE 300 M                 340     310      21      39      27
HE 320 AA                301     300       8      11      27
HE 320 A                 310     300       9    15.5      27
HE 320 B                 320     300    11.5    20.5      27
HE 320 M                 359     309      21      40      27
HE 340 AA                320     300     8.5    11.5      27
HE 340 A                 330     300     9.5    16.5      27
HE 340 B                 340     300      12    21.5      27
HE 340 M                 377     309      21      40      27
HE 360 AA                339     300       9      12      27
HE 360 A                 350     300      10    17.5      27
HE 360 B                 360     300    12.5    22.5      27
HE 360 M                 395     308      21      40      27
HE 400 AA                378     300     9.5      13      27
HE 400 A                 390     300      11      19      27
HE 400 B                 400     300    13.5      24      27
HE 400 M                 432     307      21      40      27
HE 450 AA                425     300      10    13.5      27
HE 450 A                 440     300    11.5      21      27
HE 450 B                 450     300      14      26      27
HE 450 M                 478     307      21      40      27
HE 500 AA                472     300    10.5      14      27
HE 500 A                 490     300      12      23      27
HE 500 B                 500     300    14.5      28      27
HE 500 M                 524     306      21      40      27
HE 550 AA                522     300    11.5      15      27
HE 550 A                 540     300    12.5      24      27
HE 550 B                 550     300      15      29      27
HE 550 M                 572     306      21      40      27
HE 600 AA                571     300      12    15.5      27
HE 600 A                 590     300      13      25      27
HE 600 B                 600     300    15.5      30      27
HE 600 M                 620     305      21      40      27
HE 600 X 337             632     310    25.5      46      27
HE 600 X 399             648     315      30      54      27
HE 650 AA                620     300    12.5      16      27
HE 650 A                 640     300    13.5      26      27
HE 650 B                 650     300      16      31      27
HE 650 M                 668     305      21      40      27
HE 650 X 343             680     309      25      46      27
HE 650 X 407             696     314    29.5      54      27
HE 700 AA                670     300      13      17      27
HE 700 A                 690     300    14.5      27      27
HE 700 B                 700     300      17      32      27
HE 700 M                 716     304      21      40      27
HE 700 X 352             728     308      25      46      27
HE 700 X 418             744     313    29.5      54      27
HE 800 AA                770     300      14      18      30
HE 800 A                 790     300      15      28      30
HE 800 B                 800     300    17.5      33      30
HE 800 M                 814     303      21      40      30
HE 800 X 373             826     308      25      46      30
HE 800 X 444             842     313      30      54      30
